Tierrasse;Gruppe;Link
Simmentaler;West Rindvieh;https://ballenberg.ch/de/bauernhoftiere/
Braunvieh;West Rindvieh;https://ballenberg.ch/de/bauernhoftiere/
Eringer;West Rindvieh;https://ballenberg.ch/de/bauernhoftiere/
Holstein;West Rindvieh;https://ballenberg.ch/de/bauernhoftiere/
Braunvieh (Farbschlag Gurt und Ryf);Ost Rindvieh;https://ballenberg.ch/de/bauernhoftiere/
Evolèner;Ost Rindvieh;https://ballenberg.ch/de/bauernhoftiere/
Hinterwälder;Ost Rindvieh;https://ballenberg.ch/de/bauernhoftiere/
Grauvieh;Ost Rindvieh;https://ballenberg.ch/de/bauernhoftiere/
Capra Grigia;West Ziegen;https://ballenberg.ch/de/bauernhoftiere/
Walliser Schwarzhalsziege;West Ziegen;https://ballenberg.ch/de/bauernhoftiere/
Appenzeller Ziege;West Ziegen;https://ballenberg.ch/de/bauernhoftiere/
Pfauenziege;Ost Ziegen;https://ballenberg.ch/de/bauernhoftiere/
Strahlenziege;Ost Ziegen;https://ballenberg.ch/de/bauernhoftiere/
Stiefelgeiss;Ost Ziegen;https://ballenberg.ch/de/bauernhoftiere/
Gemsfarbene Gebirgsziege (Brienzer Ziege);Ost Ziegen;https://ballenberg.ch/de/bauernhoftiere/
Engadiner Schaf;West Schafe;https://ballenberg.ch/de/bauernhoftiere/
Spiegelschaf;West Schafe;https://ballenberg.ch/de/bauernhoftiere/
Weisses Alpenschaf;West Schafe;https://ballenberg.ch/de/bauernhoftiere/
Schwarzbraunes Bergschaf;West Schafe;https://ballenberg.ch/de/bauernhoftiere/
Walliser Landschaf;West Schafe;https://ballenberg.ch/de/bauernhoftiere/
Bündner Oberländer Schaf;West Schafe;https://ballenberg.ch/de/bauernhoftiere/
Braunköpfiges Fleischschaf;West Schafe;https://ballenberg.ch/de/bauernhoftiere/
Duroc;West Schweine;https://ballenberg.ch/de/bauernhoftiere/
Wollschwein;West Schweine;https://ballenberg.ch/de/bauernhoftiere/
Schwarzes Alpenschwein;Ost Schweine;https://ballenberg.ch/de/bauernhoftiere/
Edelschwein / Landrasse;Ost Schweine;https://ballenberg.ch/de/bauernhoftiere/
Hausesel;West Equiden;https://ballenberg.ch/de/bauernhoftiere/
Freiberger Pferd;West Equiden;https://ballenberg.ch/de/bauernhoftiere/
Schweizer Warmblut;West Equiden;https://ballenberg.ch/de/bauernhoftiere/
Maultier;Ost Equiden;https://ballenberg.ch/de/bauernhoftiere/
Haustaube;West Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Orpington;West Geflügel;https://ballenberg.ch/de/bauernhoftiere/
New Hampshire;West Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Faverolles;West Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Brahma;West Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Italiener;West Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Diepholzer Gans;West Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Thurgauer Mönchstaube;Ost Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Appenzeller Spitzhauben;Ost Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Appenzeller Barthuhn;Ost Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Schweizerhuhn;Ost Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Bielefelder Kennhuhn;Ost Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Zwergwyandotten;Ost Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Laufenten;Ost Geflügel;https://ballenberg.ch/de/bauernhoftiere/
Schweizer Schecken;West Kaninchen;https://ballenberg.ch/de/bauernhoftiere/
Schweizer Dreifarbenschecken;West Kaninchen;https://ballenberg.ch/de/bauernhoftiere/
Burgunder;Ost Kaninchen;https://ballenberg.ch/de/bauernhoftiere/
